contract_id,contract_version,source_sha256,city,cluster,wetland,start_year,end_year,start_value,end_value,absolute_change,relative_change_rate,relative_change_status,slope_per_year,slope_status,observations,direction,period,method,cluster_absolute_change_percentile,national_absolute_change_percentile,cluster_relative_change_rate_percentile,national_relative_change_rate_percentile,cluster_slope_per_year_percentile,national_slope_per_year_percentile,cluster_reference_n,national_reference_n
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Hangzhou,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Jiaxing,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Lianyungang,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Nantong,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Ningbo,YRD,Mangrove,2001,2022,0.252499868907016,1.17810339362745,0.9256035247204342,3.665758436735233,computed,0.024130191950835402,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,1.0,0.924528,0.75,0.928571,1.0,0.886792,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Shanghai_Shi,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Shaoxing,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Taizhou,YRD,Mangrove,2001,2022,0.167158456043199,0.423806020971201,0.256647564928002,1.535354962010873,computed,0.007067070256590469,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.818182,0.792453,0.5,0.892857,0.909091,0.811321,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Wenzhou,YRD,Mangrove,2001,2022,0.312705579316023,0.628714884183517,0.31600930486749396,1.0105649715579017,computed,0.004132759203188739,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.909091,0.830189,0.25,0.821429,0.818182,0.792453,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Yancheng,YRD,Mangrove,2001,2022,0.0,0.0,0.0,,undefined_zero_start,0.0,computed,22,stable,2001-2022,deterministic endpoint change and centered OLS slope,0.363636,0.471698,,,0.363636,0.5,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Zhoushan,YRD,Mangrove,2001,2022,0.0074147561006433,0.0977588411343444,0.0903440850337011,12.184363694156158,computed,0.0030641949776591118,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.727273,0.735849,1.0,1.0,0.727273,0.754717,11,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Beihai,BBG,Marsh,2001,2022,17.207040101191,32.4684057217409,15.261365620549899,0.8869256729106808,computed,0.5143403911641952,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.857143,0.943396,0.857143,0.981132,0.714286,0.679245,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Fangchenggang,BBG,Marsh,2001,2022,12.109151839005,23.1514419705308,11.042290131525801,0.9118962482539271,computed,0.3110831148909372,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.571429,0.867925,1.0,1.0,0.428571,0.622642,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Hainan_Sheng,BBG,Marsh,2001,2022,142.327521403745,150.490910911611,8.163389507865986,0.05735636669108176,computed,-0.7045586897918482,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.285714,0.792453,0.142857,0.490566,0.142857,0.132075,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Maoming,BBG,Marsh,2001,2022,17.2801250610065,21.2275293824755,3.947404321468998,0.22843609681833382,computed,0.2834742695941894,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.142857,0.584906,0.285714,0.566038,0.285714,0.584906,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Qinzhou,BBG,Marsh,2001,2022,19.5428467389438,29.116152565131,9.573305826187198,0.4898624010139779,computed,0.3844848561490257,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.428571,0.830189,0.714286,0.849057,0.571429,0.641509,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Yangjiang,BBG,Marsh,2001,2022,28.8509142867647,40.3545061219478,11.503591835183101,0.39872538252489115,computed,0.7039208771705298,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,0.714286,0.924528,0.571429,0.773585,0.857143,0.830189,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Zhanjiang,BBG,Marsh,2001,2022,64.9369147152268,88.5702393463272,23.633324631100393,0.3639428318197986,computed,0.9624537880933023,computed,22,increase,2001-2022,deterministic endpoint change and centered OLS slope,1.0,0.962264,0.428571,0.716981,1.0,0.867925,7,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Binzhou,BYS,Marsh,2001,2022,92.4471971348787,89.3782915378938,-3.068905596984905,-0.033196307644756715,computed,0.8916966052708469,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,0.764706,0.339623,0.764706,0.415094,0.705882,0.849057,17,53
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,Cangzhou,BYS,Marsh,2001,2022,156.565489807484,142.638503893352,-13.92698591413199,-0.08895310155039202,computed,-1.2024806175608693,computed,22,decrease,2001-2022,deterministic endpoint change and centered OLS slope,0.647059,0.226415,0.705882,0.377358,0.352941,0.113208,17,53
