contract_id,contract_version,source_sha256,year,city,cluster,wetland,value,scale,method
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2020,Fangchenggang,BBG,Mangrove,11.8383282489928,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2021,Fangchenggang,BBG,Mangrove,11.9644083035961,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2022,Fangchenggang,BBG,Mangrove,12.9324367515817,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2001,Hainan_Sheng,BBG,Mangrove,35.3288400806333,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2002,Hainan_Sheng,BBG,Mangrove,35.8320939019453,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2003,Hainan_Sheng,BBG,Mangrove,35.7998861000879,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2004,Hainan_Sheng,BBG,Mangrove,35.3463434932329,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2005,Hainan_Sheng,BBG,Mangrove,34.4637858716719,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2006,Hainan_Sheng,BBG,Mangrove,34.7586763610561,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2007,Hainan_Sheng,BBG,Mangrove,34.5510205489888,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2008,Hainan_Sheng,BBG,Mangrove,34.2909168209136,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2009,Hainan_Sheng,BBG,Mangrove,34.8319233239007,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2010,Hainan_Sheng,BBG,Mangrove,34.5743780048329,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2011,Hainan_Sheng,BBG,Mangrove,34.9481716316251,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2012,Hainan_Sheng,BBG,Mangrove,35.3762035027073,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2013,Hainan_Sheng,BBG,Mangrove,35.3833603508845,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2014,Hainan_Sheng,BBG,Mangrove,35.2344380917776,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2015,Hainan_Sheng,BBG,Mangrove,35.3703013149623,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2016,Hainan_Sheng,BBG,Mangrove,35.6946285755015,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2017,Hainan_Sheng,BBG,Mangrove,36.0098700589343,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2018,Hainan_Sheng,BBG,Mangrove,36.9906129318778,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2019,Hainan_Sheng,BBG,Mangrove,36.0031002434549,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2020,Hainan_Sheng,BBG,Mangrove,35.3205176867722,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2021,Hainan_Sheng,BBG,Mangrove,35.7319734044422,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2022,Hainan_Sheng,BBG,Mangrove,36.0768131744904,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2001,Maoming,BBG,Mangrove,0.192847119466146,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2002,Maoming,BBG,Mangrove,0.16673613404182,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2003,Maoming,BBG,Mangrove,0.163210416241575,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2004,Maoming,BBG,Mangrove,0.14219056573606,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2005,Maoming,BBG,Mangrove,0.172286665820313,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2006,Maoming,BBG,Mangrove,0.118507390310968,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2007,Maoming,BBG,Mangrove,0.121562782869945,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2008,Maoming,BBG,Mangrove,0.0836222566214767,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2009,Maoming,BBG,Mangrove,0.116146603630515,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2010,Maoming,BBG,Mangrove,0.126787043941483,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2011,Maoming,BBG,Mangrove,0.118000521480545,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2012,Maoming,BBG,Mangrove,0.112957898590686,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2013,Maoming,BBG,Mangrove,0.191336405013021,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2014,Maoming,BBG,Mangrove,0.139755971078431,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2015,Maoming,BBG,Mangrove,0.140040600007659,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2016,Maoming,BBG,Mangrove,0.146428322863051,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2017,Maoming,BBG,Mangrove,0.12468119943704,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2018,Maoming,BBG,Mangrove,0.139858812787224,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2019,Maoming,BBG,Mangrove,0.138006517984069,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2020,Maoming,BBG,Mangrove,0.112079666302849,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2021,Maoming,BBG,Mangrove,0.115896513890165,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2022,Maoming,BBG,Mangrove,0.11763820167739,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2001,Qinzhou,BBG,Mangrove,7.57313423558134,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2002,Qinzhou,BBG,Mangrove,7.30025632786075,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2003,Qinzhou,BBG,Mangrove,8.20260432522977,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2004,Qinzhou,BBG,Mangrove,9.7752351978554,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2005,Qinzhou,BBG,Mangrove,9.65413802361366,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2006,Qinzhou,BBG,Mangrove,9.579973494447,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2007,Qinzhou,BBG,Mangrove,10.2070543218788,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2008,Qinzhou,BBG,Mangrove,11.0560358076823,spatial_unit,observed raw wetland area from authoritative panel
coastal-wetland-evidence-contract,1.0.0,a4cf9efdecf6735f87d398acc56604e66df26e62f1a2f1e96fafd7791aa3bcc6,2009,Qinzhou,BBG,Mangrove,11.9037018911152,spatial_unit,observed raw wetland area from authoritative panel
